Company	Company Domain	Final Domain	City	Manufacturing_Propensity
MK Machines	mk-machines.com		Bad Driburg	High
Piccadilly Internationaler Handel	piccadilly-international.de		Solingen	High
Liberty Damenmoden	liberty-woman.com		Lübbecke	High
The Shops at Columbus Circle	theshopsatcolumbuscircle.com		Bochum	High
Bianca Moden GmbH & Co. KG	bianca.de		Ochtrup	High
Maas Natur	maas-natur.de		Gütersloh	Medium
Tara M	tara-m.de		Borken	High
Euro-Star Reitmoden	euro-star.de		Mönchengladbach	High
Csgermany	csgermany.de		Hagen	High
Josef Wierling	wierling.de		Capelle	High
Huhn Teckentrup Deutschland	teckentrup.de		Herscheid	Medium
Autopstenhoj	autopstenhoj.com		Rheine	Medium
Motogadget	motogadget.com		NRW	High
Bielenberg	bielenberg.de		Kerpen	High
WGS-Umformtechnik	wgs-umformtechnik.com		Velbert	High
Wittich	wittich-gmbh.de		Bielefeld	Medium
Jörg Frischkorn	joerg-frischkorn.de		Ennepetal	High
Euram	euram.de		Haan	High
Mototok International	mototok.com		Krefeld	Medium
Spectrum Aerospace	spectrum-aerospace.aero		Troisdorf	High
Pauli+Sohn	pauli.de		Waldbröl	High
Vogel&Noot Austria	vogelundnoot.com		Bergneustadt	High
LEGI	legi.de		Moers	High
KFV Karl Fliether GmbH & Co. KG	kfv.de		Velbert	Medium
Simonswerk	simonswerk.com		Rheda-Wiedenbrück	High
Gust. Alberts GmbH & Co. KG	alberts.de		Herscheid	High
Bamaka	bamaka.de		Bad Honnef	High
Fleischer Büromöbelwerk GmbH & Co. KG	fleischer-bueromoebel.de		Bochum	Medium
Vetter Krantechnik	vetter-cranes.com	vettercranes.com	Siegen	Medium
Upmann GmbH & Co. KG	upmann.eu		Rietberg	High
Oxiegen	oxiegen.de		Bad Lippspringe	High
Elektro Albers GmbH & Co. KG	albers-ochtrup.de		Ochtrup	High
OfficeXpress	officexpress.de		Kamp-Lintfort	High
Bohrer-Onlineshop	bohrer-onlineshop.de	profibohrer.de	Lünen	Medium
Rhenus Archiv Services	rhenus-archivservices.de	aktenarchivierung.de	Holzwickede	High
Fosser Worldwide	fosser.de		Werther Westf	High
DiLaMed	dilamed.de		Sankt Augustin	High
Schmitz Schleifmittelwerk	schmitzschleifmittel.de		Remscheid	High
Teroson Bautechnik	teroson-bautechnik.com		Dusseldorf	High
Pureko	pureko.de		Gronau	High
Yorkshire Farben	yorkshire-farben.eu		Krefeld	High
Manfred Katerndahl	katerndahl.eu		Kürten	Medium
Vestolit	vestolit.com		Marl	Medium
Bergische Elektrochemie	dicolloy.de		Haan	High
BIORoxx	bioroxx.de		Essen	High
Astor-Berning	astor-berning.de		Schwelm	Medium
Buck Powder	buck-powder.com	messing-keppler.de	Vlotho	High
Pommert H&d	pommert.net		Freudenberg	High
Hesse GmbH & Co. KG	hesse-lignal.com		Hamm	Medium
Mundizio	mundizio.de		Hamm	High
Chemische Werke Hommel GmbH & Co. KG	hommel-pharma.com		Waltrop	High
Toda Kogyo Europe	todaeurope.de		Dusseldorf	High
Lernstudio Gembaczka	lernstudio-iq.de		Dortmund	High
Städtereinigung Gerke	staedtereinigung-gerke.de		Tönisvorst	High
Gövert	goevert-gmbh.com		Essen	High
Mantz Airmotions	mantz.de		Solingen	High
Kessels	kessels.de		Mönchengladbach	Medium
Dichrom	dichrom.com		Haltern Am See	High
AVT Airborne Sensing	avt-as.eu		Greven	High
ViaCon Hamco	viacon-hamco.de		Dinslaken	Medium
Dalminex	dalminex.de		Schloß Holte-Stukenbrock	Medium
Workstationpro	workstation-pro.com		Cologne	High
Eizo Europe	eizo.de		Mönchengladbach	Medium
